Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.18806923934330183,-0.18806923934330183
2024-10-15,2.125,-0.18806923934330183,-0.18806923934330183
2024-10-16,2.375,-0.02243177903056114,-0.02243177903056114
2024-10-17,1.125,-0.8506190805942645,-0.8506190805942645
2024-10-18,1.625,-0.5193441599687831,-0.5193441599687831
2024-10-21,4.0,1.0542117130022532,1.0542117130022532
2024-10-22,1.25,-0.7678003504378942,-0.7678003504378942
2024-10-23,1.25,-0.7678003504378942,-0.7678003504378942
2024-10-24,2.375,-0.02243177903056114,-0.02243177903056114
2024-10-25,1.625,-0.5193441599687831,-0.5193441599687831
2024-10-28,2.875,0.3088431415949202,0.3088431415949202
2024-10-29,2.875,0.3088431415949202,0.3088431415949202
2024-11-04,2.5,0.0603869511258092,0.0603869511258092
2024-11-05,2.25,-0.10525050918693148,-0.10525050918693148
2024-11-06,5.625,2.1308552050350675,2.1308552050350675
2024-11-07,3.375,0.6401180622204016,0.6401180622204016
2024-11-08,3.375,0.6401180622204016,0.6401180622204016
2024-11-11,2.375,-0.02243177903056114,-0.02243177903056114
2024-11-12,3.125,0.4744806019076609,0.4744806019076609
2024-11-15,3.375,0.6401180622204016,0.6401180622204016
2024-11-18,2.625,0.14320568128217953,0.14320568128217953
2024-11-19,5.0,1.716761554253216,1.716761554253216
2024-11-20,2.25,-0.10525050918693148,-0.10525050918693148
2024-11-21,2.375,-0.02243177903056114,-0.02243177903056114
2024-11-22,2.625,0.14320568128217953,0.14320568128217953
2024-11-25,2.625,0.14320568128217953,0.14320568128217953
2024-11-26,1.625,-0.5193441599687831,-0.5193441599687831
2024-11-28,1.25,-0.7678003504378942,-0.7678003504378942
2024-11-29,1.5,-0.6021628901251536,-0.6021628901251536
2024-12-02,4.875,1.6339428240968457,1.6339428240968457
2024-12-03,4.5,1.3854866336277347,1.3854866336277347
2024-12-04,2.125,-0.18806923934330183,-0.18806923934330183
2024-12-05,4.25,1.2198491733149939,1.2198491733149939
2024-12-09,3.125,0.4744806019076609,0.4744806019076609
2024-12-10,3.0,0.3916618717512906,0.3916618717512906
2024-12-13,2.375,-0.02243177903056114,-0.02243177903056114
2024-12-16,1.375,-0.6849816202815239,-0.6849816202815239
2024-12-17,2.875,0.3088431415949202,0.3088431415949202
2024-12-18,1.875,-0.3537066996560425,-0.3537066996560425
2024-12-23,1.625,-0.5193441599687831,-0.5193441599687831
2024-12-26,0.875,-1.0162565409070052,-1.0162565409070052
2024-12-27,2.25,-0.10525050918693148,-0.10525050918693148
2024-12-30,2.25,-0.10525050918693148,-0.10525050918693148
2024-12-31,1.5,-0.6021628901251536,-0.6021628901251536
2025-01-02,3.875,0.9713929828458829,0.9713929828458829
2025-01-03,1.5,-0.6021628901251536,-0.6021628901251536
2025-01-06,3.5,0.7229367923767719,0.7229367923767719
2025-01-07,2.0059814453127274,-0.2669249638572733,-0.2669249638572733
2025-01-08,2.5,0.0603869511258092,0.0603869511258092
2025-01-09,2.125,-0.18806923934330183,-0.18806923934330183
2025-01-13,1.5,-0.6021628901251536,-0.6021628901251536
2025-01-16,1.625,-0.5193441599687831,-0.5193441599687831
2025-01-17,1.625,-0.5193441599687831,-0.5193441599687831
2025-01-20,1.625,-0.5193441599687831,-0.5193441599687831
2025-01-21,4.25,1.2198491733149939,1.2198491733149939
2025-01-22,2.0,-0.27088796949967214,-0.27088796949967214
2025-01-23,2.375,-0.02243177903056114,-0.02243177903056114
2025-01-24,2.375,-0.02243177903056114,-0.02243177903056114
2025-01-27,7.0,3.041861236755141,3.041861236755141
2025-01-28,2.0,-0.27088796949967214,-0.27088796949967214
2025-01-29,1.5,-0.6021628901251536,-0.6021628901251536
2025-02-03,3.25,0.5572993320640313,0.5572993320640313
2025-02-04,2.625,0.14320568128217953,0.14320568128217953
2025-02-05,2.75,0.22602441143854987,0.22602441143854987
2025-02-06,1.875,-0.3537066996560425,-0.3537066996560425
2025-02-10,1.75,-0.4365254298124128,-0.4365254298124128
2025-02-11,1.75,-0.4365254298124128,-0.4365254298124128
2025-02-14,1.75,-0.4365254298124128,-0.4365254298124128
2025-02-17,1.375,-0.6849816202815239,-0.6849816202815239
2025-02-18,1.0,-0.9334378107506349,-0.9334378107506349
2025-02-19,1.125,-0.8506190805942645,-0.8506190805942645
2025-02-20,1.375,-0.6849816202815239,-0.6849816202815239
2025-02-21,1.75,-0.4365254298124128,-0.4365254298124128
2025-02-24,1.5,-0.6021628901251536,-0.6021628901251536
2025-02-25,3.5,0.7229367923767719,0.7229367923767719
2025-02-26,4.5,1.3854866336277347,1.3854866336277347
2025-03-03,5.5,2.0480364748786974,2.0480364748786974
2025-03-04,6.625,2.7934050462860305,2.7934050462860305
2025-03-05,6.0,2.3793113955041787,2.3793113955041787
2025-03-06,5.5,2.0480364748786974,2.0480364748786974
2025-03-10,6.625,2.7934050462860305,2.7934050462860305
2025-03-11,6.75,2.8762237764424006,2.8762237764424006
2025-03-14,1.625,-0.5193441599687831,-0.5193441599687831
2025-03-17,3.75,0.8885742526895126,0.8885742526895126
2025-03-18,2.0,-0.27088796949967214,-0.27088796949967214
2025-03-19,1.75,-0.4365254298124128,-0.4365254298124128
2025-03-20,3.625,0.8057555225331422,0.8057555225331422
2025-03-21,2.75,0.22602441143854987,0.22602441143854987
2025-03-24,1.375,-0.6849816202815239,-0.6849816202815239
2025-03-25,2.75,0.22602441143854987,0.22602441143854987
2025-03-26,2.0,-0.27088796949967214,-0.27088796949967214
2025-03-31,1.875,-0.3537066996560425,-0.3537066996560425
2025-04-01,2.75,0.22602441143854987,0.22602441143854987
2025-04-02,4.25,1.2198491733149939,1.2198491733149939
2025-04-03,4.25,1.2198491733149939,1.2198491733149939
2025-04-04,10.875,5.609241871602622,5.609241871602622
2025-04-07,11.625,6.106154252540844,6.106154252540844
2025-04-08,4.375,1.3026679034713642,1.3026679034713642
2025-04-09,8.0,3.704411078006104,3.704411078006104
2025-04-14,4.375,1.3026679034713642,1.3026679034713642
2025-04-15,3.375,0.6401180622204016,0.6401180622204016
2025-04-16,3.25,0.5572993320640313,0.5572993320640313
2025-04-17,2.125,-0.18806923934330183,-0.18806923934330183
2025-04-21,2.75,0.22602441143854987,0.22602441143854987
2025-04-22,2.875,0.3088431415949202,0.3088431415949202
2025-04-23,2.875,0.3088431415949202,0.3088431415949202
2025-04-24,1.875,-0.3537066996560425,-0.3537066996560425
2025-04-25,2.75,0.22602441143854987,0.22602441143854987
2025-04-28,2.875,0.3088431415949202,0.3088431415949202
2025-04-29,2.0,-0.27088796949967214,-0.27088796949967214
2025-05-01,3.0,0.3916618717512906,0.3916618717512906
2025-05-05,1.375,-0.6849816202815239,-0.6849816202815239
2025-05-06,2.375,-0.02243177903056114,-0.02243177903056114
2025-05-07,2.125,-0.18806923934330183,-0.18806923934330183
2025-05-08,2.125,-0.18806923934330183,-0.18806923934330183
2025-05-09,1.5,-0.6021628901251536,-0.6021628901251536
2025-05-12,7.0,3.041861236755141,3.041861236755141
2025-05-14,2.0,-0.27088796949967214,-0.27088796949967214
2025-05-16,2.25,-0.10525050918693148,-0.10525050918693148
2025-05-19,3.125,0.4744806019076609,0.4744806019076609
2025-05-20,2.375,-0.02243177903056114,-0.02243177903056114
2025-05-21,2.5,0.0603869511258092,0.0603869511258092
2025-05-22,1.875,-0.3537066996560425,-0.3537066996560425
2025-05-23,2.125,-0.18806923934330183,-0.18806923934330183
2025-05-26,1.375,-0.6849816202815239,-0.6849816202815239
2025-05-27,1.5,-0.6021628901251536,-0.6021628901251536
2025-05-28,2.5,0.0603869511258092,0.0603869511258092
2025-06-02,3.75,0.8885742526895126,0.8885742526895126
2025-06-03,2.0,-0.27088796949967214,-0.27088796949967214
2025-06-04,2.625,0.14320568128217953,0.14320568128217953
2025-06-05,2.375,-0.02243177903056114,-0.02243177903056114
2025-06-09,1.258056640625,-0.7624624244707844,-0.7624624244707844
2025-06-10,2.75,0.22602441143854987,0.22602441143854987
2025-06-13,5.125,1.7995802844095863,1.7995802844095863
2025-06-16,2.875,0.3088431415949202,0.3088431415949202
2025-06-17,1.875,-0.3537066996560425,-0.3537066996560425
2025-06-18,2.75,0.22602441143854987,0.22602441143854987
2025-06-19,1.5,-0.6021628901251536,-0.6021628901251536
2025-06-20,3.125,0.4744806019076609,0.4744806019076609
2025-06-23,1.625,-0.5193441599687831,-0.5193441599687831
2025-06-24,2.25,-0.10525050918693148,-0.10525050918693148
2025-06-25,1.625,-0.5193441599687831,-0.5193441599687831
2025-06-30,2.875,0.3088431415949202,0.3088431415949202
2025-07-01,2.0,-0.27088796949967214,-0.27088796949967214
2025-07-02,2.125,-0.18806923934330183,-0.18806923934330183
2025-07-04,3.25,0.5572993320640313,0.5572993320640313
2025-07-07,2.0,-0.27088796949967214,-0.27088796949967214
2025-07-08,2.0,-0.27088796949967214,-0.27088796949967214
2025-07-09,1.5,-0.6021628901251536,-0.6021628901251536
2025-07-10,1.375,-0.6849816202815239,-0.6849816202815239
2025-07-11,2.25,-0.10525050918693148,-0.10525050918693148
2025-07-14,1.125,-0.8506190805942645,-0.8506190805942645
2025-07-17,1.625,-0.5193441599687831,-0.5193441599687831
2025-07-18,1.25,-0.7678003504378942,-0.7678003504378942
2025-07-21,3.125,0.4744806019076609,0.4744806019076609
2025-07-22,1.875,-0.3537066996560425,-0.3537066996560425
2025-07-23,1.25,-0.7678003504378942,-0.7678003504378942
2025-07-24,1.125,-0.8506190805942645,-0.8506190805942645
2025-07-25,2.0,-0.27088796949967214,-0.27088796949967214
2025-07-28,2.25,-0.10525050918693148,-0.10525050918693148
2025-07-29,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-04,2.5,0.0603869511258092,0.0603869511258092
2025-08-05,1.2540283203125,-0.7651313874543393,-0.7651313874543393
2025-08-06,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-07,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-08,0.875,-1.0162565409070052,-1.0162565409070052
2025-08-11,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-13,2.875,0.3088431415949202,0.3088431415949202
2025-08-15,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-18,1.625,-0.5193441599687831,-0.5193441599687831
2025-08-19,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-20,1.625,-0.5193441599687831,-0.5193441599687831
2025-08-21,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-22,1.375,-0.6849816202815239,-0.6849816202815239
2025-08-25,1.625,-0.5193441599687831,-0.5193441599687831
2025-08-26,1.25,-0.7678003504378942,-0.7678003504378942
2025-08-27,4.0,1.0542117130022532,1.0542117130022532
2025-09-02,5.625,2.1308552050350675,2.1308552050350675
2025-09-03,3.25,0.5572993320640313,0.5572993320640313
2025-09-04,4.125,1.1370304431586236,1.1370304431586236
2025-09-08,2.25,-0.10525050918693148,-0.10525050918693148
2025-09-12,1.625,-0.5193441599687831,-0.5193441599687831
2025-09-15,2.0,-0.27088796949967214,-0.27088796949967214
2025-09-16,1.375,-0.6849816202815239,-0.6849816202815239
2025-09-17,1.25,-0.7678003504378942,-0.7678003504378942
2025-09-18,2.25,-0.10525050918693148,-0.10525050918693148
2025-09-19,1.625,-0.5193441599687831,-0.5193441599687831
2025-09-22,1.5,-0.6021628901251536,-0.6021628901251536
2025-09-23,1.25,-0.7678003504378942,-0.7678003504378942
2025-09-24,1.125,-0.8506190805942645,-0.8506190805942645
2025-09-29,1.5,-0.6021628901251536,-0.6021628901251536
2025-09-30,1.75,-0.4365254298124128,-0.4365254298124128
2025-10-01,1.75,-0.4365254298124128,-0.4365254298124128
2025-10-02,1.125,-0.8506190805942645,-0.8506190805942645
2025-10-06,1.375,-0.6849816202815239,-0.6849816202815239
2025-10-07,1.25,-0.7678003504378942,-0.7678003504378942
2025-10-08,1.25,-0.7678003504378942,-0.7678003504378942
2025-10-09,1.375,-0.6849816202815239,-0.6849816202815239
2025-10-10,1.1309814453125,-0.8466560749520163,-0.8466560749520163
2025-10-13,1.375,-0.6849816202815239,-0.6849816202815239
2025-10-14,3.125,0.4744806019076609,0.4744806019076609
2025-10-17,2.5,0.0603869511258092,0.0603869511258092
2025-10-20,1.25,-0.7678003504378942,-0.7678003504378942
2025-10-21,1.75,-0.4365254298124128,-0.4365254298124128
2025-10-22,1.375,-0.6849816202815239,-0.6849816202815239
2025-10-23,2.625,0.14320568128217953,0.14320568128217953
2025-10-27,1.5,-0.6021628901251536,-0.6021628901251536
2025-10-28,1.125,-0.8506190805942645,-0.8506190805942645
2025-10-29,1.5,-0.6021628901251536,-0.6021628901251536
2025-11-03,1.375,-0.6849816202815239,-0.6849816202815239
2025-11-04,2.375,-0.02243177903056114,-0.02243177903056114
2025-11-05,1.625,-0.5193441599687831,-0.5193441599687831
2025-11-06,1.875,-0.3537066996560425,-0.3537066996560425
2025-11-10,1.25,-0.7678003504378942,-0.7678003504378942
2025-11-11,0.625,-1.1818940012197459,-1.1818940012197459
2025-11-12,1.125,-0.8506190805942645,-0.8506190805942645
2025-11-17,1.25,-0.7678003504378942,-0.7678003504378942
2025-11-18,1.5,-0.6021628901251536,-0.6021628901251536
2025-11-19,1.125,-0.8506190805942645,-0.8506190805942645
2025-11-21,3.625,0.8057555225331422,0.8057555225331422
2025-11-24,1.375,-0.6849816202815239,-0.6849816202815239
2025-12-01,2.0,-0.27088796949967214,-0.27088796949967214
2025-12-02,1.625,-0.5193441599687831,-0.5193441599687831
2025-12-03,1.75,-0.4365254298124128,-0.4365254298124128
2025-12-04,1.25,-0.7678003504378942,-0.7678003504378942
2025-12-08,1.625,-0.5193441599687831,-0.5193441599687831
2025-12-09,2.0,-0.27088796949967214,-0.27088796949967214
2025-12-10,2.125,-0.18806923934330183,-0.18806923934330183
2025-12-12,1.375,-0.6849816202815239,-0.6849816202815239
2025-12-15,1.125,-0.8506190805942645,-0.8506190805942645
2025-12-17,1.75,-0.4365254298124128,-0.4365254298124128
2025-12-19,1.25,-0.7678003504378942,-0.7678003504378942
2025-12-22,0.625,-1.1818940012197459,-1.1818940012197459
2025-12-26,1.875,-0.3537066996560425,-0.3537066996560425
2025-12-29,1.875,-0.3537066996560425,-0.3537066996560425
2025-12-30,0.625,-1.1818940012197459,-1.1818940012197459
2025-12-31,1.375,-0.6849816202815239,-0.6849816202815239
