Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.11918967319638776,-0.11918967319638776
2024-10-15,0.6875007999999525,-0.34830923969065547,-0.34830923969065547
2024-10-16,1.0,-0.061908681791928356,-0.061908681791928356
2024-10-17,0.375,-0.6347112639639059,-0.6347112639639059
2024-10-18,0.6874992000000475,-0.3483107060651788,-0.3483107060651788
2024-10-21,1.5625007999999525,0.45361437535011306,0.45361437535011306
2024-10-22,0.6874992000000475,-0.3483107060651788,-0.3483107060651788
2024-10-23,0.625,-0.4055902310951149,-0.4055902310951149
2024-10-24,0.875,-0.17646919822632387,-0.17646919822632387
2024-10-25,0.5624992000000475,-0.4628712224995743,-0.4628712224995743
2024-10-28,1.1874992000000475,0.10993135967240325,0.10993135967240325
2024-10-29,1.0625007999999525,-0.0046276903874689496,-0.0046276903874689496
2024-11-04,0.875,-0.17646919822632387,-0.17646919822632387
2024-11-05,0.8124992000000475,-0.23375018963078326,-0.23375018963078326
2024-11-06,2.0,0.8545754496832357,0.8545754496832357
2024-11-07,1.25,0.16721235107686266,0.16721235107686266
2024-11-08,1.125,0.05265183464246715,0.05265183464246715
2024-11-11,0.75,-0.29102971466071936,-0.29102971466071936
2024-11-12,1.375,0.2817728675112582,0.2817728675112582
2024-11-15,1.375,0.2817728675112582,0.2817728675112582
2024-11-18,0.875,-0.17646919822632387,-0.17646919822632387
2024-11-19,2.125,0.9691359661176312,0.9691359661176312
2024-11-20,0.8124992000000475,-0.23375018963078326,-0.23375018963078326
2024-11-21,1.0625007999999525,-0.0046276903874689496,-0.0046276903874689496
2024-11-22,1.0,-0.061908681791928356,-0.061908681791928356
2024-11-25,0.875,-0.17646919822632387,-0.17646919822632387
2024-11-26,0.75,-0.29102971466071936,-0.29102971466071936
2024-11-28,0.3124992000000475,-0.6919922553683653,-0.6919922553683653
2024-11-29,0.5,-0.5201507475295104,-0.5201507475295104
2024-12-02,3.75,2.458422679764773,2.458422679764773
2024-12-03,0.625,-0.4055902310951149,-0.4055902310951149
2024-12-04,0.8125,-0.2337494564435216,-0.2337494564435216
2024-12-05,2.9375,1.713779322941202,1.713779322941202
2024-12-09,0.5625,-0.4628704893123126,-0.4628704893123126
2024-12-10,1.0,-0.061908681791928356,-0.061908681791928356
2024-12-13,0.875,-0.17646919822632387,-0.17646919822632387
2024-12-16,0.875,-0.17646919822632387,-0.17646919822632387
2024-12-17,1.9375,0.797295191466038,0.797295191466038
2024-12-18,0.75,-0.29102971466071936,-0.29102971466071936
2024-12-23,0.4375,-0.5774310057467081,-0.5774310057467081
2024-12-26,0.4375,-0.5774310057467081,-0.5774310057467081
2024-12-27,0.5625,-0.4628704893123126,-0.4628704893123126
2024-12-30,0.75,-0.29102971466071936,-0.29102971466071936
2024-12-31,0.5,-0.5201507475295104,-0.5201507475295104
2025-01-02,1.5,0.39633338394565365,0.39633338394565365
2025-01-03,0.625,-0.4055902310951149,-0.4055902310951149
2025-01-06,1.375,0.2817728675112582,0.2817728675112582
2025-01-07,0.68896484375,-0.34696746682595153,-0.34696746682595153
2025-01-08,1.125,0.05265183464246715,0.05265183464246715
2025-01-09,0.875,-0.17646919822632387,-0.17646919822632387
2025-01-13,0.75,-0.29102971466071936,-0.29102971466071936
2025-01-16,0.75,-0.29102971466071936,-0.29102971466071936
2025-01-17,0.6875,-0.34830997287791715,-0.34830997287791715
2025-01-20,0.625,-0.4055902310951149,-0.4055902310951149
2025-01-21,1.4375,0.3390531257284559,0.3390531257284559
2025-01-22,0.625,-0.4055902310951149,-0.4055902310951149
2025-01-23,0.5625,-0.4628704893123126,-0.4628704893123126
2025-01-24,0.75,-0.29102971466071936,-0.29102971466071936
2025-01-27,2.625,1.4273780318552132,1.4273780318552132
2025-01-28,0.5625,-0.4628704893123126,-0.4628704893123126
2025-01-29,0.4375,-0.5774310057467081,-0.5774310057467081
2025-02-03,1.375,0.2817728675112582,0.2817728675112582
2025-02-04,0.9375,-0.11918894000912611,-0.11918894000912611
2025-02-05,0.9375,-0.11918894000912611,-0.11918894000912611
2025-02-06,0.6875,-0.34830997287791715,-0.34830997287791715
2025-02-10,0.5,-0.5201507475295104,-0.5201507475295104
2025-02-11,0.375,-0.6347112639639059,-0.6347112639639059
2025-02-14,0.6875,-0.34830997287791715,-0.34830997287791715
2025-02-17,0.625,-0.4055902310951149,-0.4055902310951149
2025-02-18,0.3125,-0.6919915221811036,-0.6919915221811036
2025-02-19,0.3125,-0.6919915221811036,-0.6919915221811036
2025-02-20,0.3125,-0.6919915221811036,-0.6919915221811036
2025-02-21,0.5625,-0.4628704893123126,-0.4628704893123126
2025-02-24,0.4375,-0.5774310057467081,-0.5774310057467081
2025-02-25,1.1875,0.1099320928596649,0.1099320928596649
2025-02-26,4.375,3.0312252619367506,3.0312252619367506
2025-03-03,4.875,3.4894673276743324,3.4894673276743324
2025-03-04,5.5,4.06226990984631,4.06226990984631
2025-03-05,1.375,0.2817728675112582,0.2817728675112582
2025-03-06,5.375,3.9477093934119147,3.9477093934119147
2025-03-10,1.5625,0.45361364216285144,0.45361364216285144
2025-03-11,4.875,3.4894673276743324,3.4894673276743324
2025-03-14,2.875,1.6564990647240043,1.6564990647240043
2025-03-17,0.75,-0.29102971466071936,-0.29102971466071936
2025-03-18,0.5625,-0.4628704893123126,-0.4628704893123126
2025-03-19,0.5625,-0.4628704893123126,-0.4628704893123126
2025-03-20,1.5,0.39633338394565365,0.39633338394565365
2025-03-21,1.125,0.05265183464246715,0.05265183464246715
2025-03-24,0.5625,-0.4628704893123126,-0.4628704893123126
2025-03-25,1.0,-0.061908681791928356,-0.061908681791928356
2025-03-26,0.6875,-0.34830997287791715,-0.34830997287791715
2025-03-31,1.5,0.39633338394565365,0.39633338394565365
2025-04-01,1.0,-0.061908681791928356,-0.061908681791928356
2025-04-02,1.5,0.39633338394565365,0.39633338394565365
2025-04-03,1.8125,0.6827346750316424,0.6827346750316424
2025-04-04,4.9375,3.5467475858915303,3.5467475858915303
2025-04-07,5.9375,4.463231717366694,4.463231717366694
2025-04-08,2.0625,0.9118557079004335,0.9118557079004335
2025-04-09,2.6875,1.484658290072411,1.484658290072411
2025-04-14,1.5625,0.45361364216285144,0.45361364216285144
2025-04-15,1.125,0.05265183464246715,0.05265183464246715
2025-04-16,1.375,0.2817728675112582,0.2817728675112582
2025-04-17,0.875,-0.17646919822632387,-0.17646919822632387
2025-04-21,1.1875,0.1099320928596649,0.1099320928596649
2025-04-22,1.4375,0.3390531257284559,0.3390531257284559
2025-04-23,0.75,-0.29102971466071936,-0.29102971466071936
2025-04-24,0.625,-0.4055902310951149,-0.4055902310951149
2025-04-25,1.0625,-0.004628423574730602,-0.004628423574730602
2025-04-28,0.875,-0.17646919822632387,-0.17646919822632387
2025-04-29,0.5625,-0.4628704893123126,-0.4628704893123126
2025-05-01,1.25,0.16721235107686266,0.16721235107686266
2025-05-05,0.5625,-0.4628704893123126,-0.4628704893123126
2025-05-06,1.3125,0.22449260929406042,0.22449260929406042
2025-05-07,0.875,-0.17646919822632387,-0.17646919822632387
2025-05-08,0.875,-0.17646919822632387,-0.17646919822632387
2025-05-09,0.5625,-0.4628704893123126,-0.4628704893123126
2025-05-12,3.1875,1.9429003558099933,1.9429003558099933
2025-05-14,0.5,-0.5201507475295104,-0.5201507475295104
2025-05-16,0.9375,-0.11918894000912611,-0.11918894000912611
2025-05-19,1.0625,-0.004628423574730602,-0.004628423574730602
2025-05-20,0.8125,-0.2337494564435216,-0.2337494564435216
2025-05-21,0.75,-0.29102971466071936,-0.29102971466071936
2025-05-22,0.625,-0.4055902310951149,-0.4055902310951149
2025-05-23,0.5,-0.5201507475295104,-0.5201507475295104
2025-05-26,0.5,-0.5201507475295104,-0.5201507475295104
2025-05-27,0.3125,-0.6919915221811036,-0.6919915221811036
2025-05-28,5.0,3.604027844108728,3.604027844108728
2025-06-02,5.5625,4.119550168063508,4.119550168063508
2025-06-03,0.75,-0.29102971466071936,-0.29102971466071936
2025-06-04,0.6875,-0.34830997287791715,-0.34830997287791715
2025-06-05,0.5,-0.5201507475295104,-0.5201507475295104
2025-06-09,0.375,-0.6347112639639059,-0.6347112639639059
2025-06-10,1.0,-0.061908681791928356,-0.061908681791928356
2025-06-13,2.0625,0.9118557079004335,0.9118557079004335
2025-06-16,1.125,0.05265183464246715,0.05265183464246715
2025-06-17,0.8125,-0.2337494564435216,-0.2337494564435216
2025-06-18,0.875,-0.17646919822632387,-0.17646919822632387
2025-06-19,0.375,-0.6347112639639059,-0.6347112639639059
2025-06-20,0.93896484375,-0.11784643395716053,-0.11784643395716053
2025-06-23,0.6875,-0.34830997287791715,-0.34830997287791715
2025-06-24,1.0,-0.061908681791928356,-0.061908681791928356
2025-06-25,0.625,-0.4055902310951149,-0.4055902310951149
2025-06-30,0.9375,-0.11918894000912611,-0.11918894000912611
2025-07-01,0.8125,-0.2337494564435216,-0.2337494564435216
2025-07-02,0.625,-0.4055902310951149,-0.4055902310951149
2025-07-04,0.75,-0.29102971466071936,-0.29102971466071936
2025-07-07,0.625,-0.4055902310951149,-0.4055902310951149
2025-07-08,0.8125,-0.2337494564435216,-0.2337494564435216
2025-07-09,0.5625,-0.4628704893123126,-0.4628704893123126
2025-07-10,0.5,-0.5201507475295104,-0.5201507475295104
2025-07-11,0.75,-0.29102971466071936,-0.29102971466071936
2025-07-14,0.4375,-0.5774310057467081,-0.5774310057467081
2025-07-17,0.5625,-0.4628704893123126,-0.4628704893123126
2025-07-18,0.4375,-0.5774310057467081,-0.5774310057467081
2025-07-21,1.0,-0.061908681791928356,-0.061908681791928356
2025-07-22,0.5625,-0.4628704893123126,-0.4628704893123126
2025-07-23,0.375,-0.6347112639639059,-0.6347112639639059
2025-07-24,0.375,-0.6347112639639059,-0.6347112639639059
2025-07-25,0.5625,-0.4628704893123126,-0.4628704893123126
2025-07-28,0.875,-0.17646919822632387,-0.17646919822632387
2025-07-29,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-04,1.375,0.2817728675112582,0.2817728675112582
2025-08-05,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-06,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-07,0.4375,-0.5774310057467081,-0.5774310057467081
2025-08-08,0.3125,-0.6919915221811036,-0.6919915221811036
2025-08-11,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-13,0.9439697265625,-0.1132595382796115,-0.1132595382796115
2025-08-15,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-18,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-19,0.5625,-0.4628704893123126,-0.4628704893123126
2025-08-20,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-21,0.5,-0.5201507475295104,-0.5201507475295104
2025-08-22,0.625,-0.4055902310951149,-0.4055902310951149
2025-08-25,0.9375,-0.11918894000912611,-0.11918894000912611
2025-08-26,0.625,-0.4055902310951149,-0.4055902310951149
2025-08-27,5.0625,3.661308102325926,3.661308102325926
2025-09-02,5.0625,3.661308102325926,3.661308102325926
2025-09-03,4.5625,3.2030660365883437,3.2030660365883437
2025-09-04,0.6875,-0.34830997287791715,-0.34830997287791715
2025-09-08,0.9375,-0.11918894000912611,-0.11918894000912611
2025-09-12,0.6875,-0.34830997287791715,-0.34830997287791715
2025-09-15,0.75,-0.29102971466071936,-0.29102971466071936
2025-09-16,0.5,-0.5201507475295104,-0.5201507475295104
2025-09-17,0.5,-0.5201507475295104,-0.5201507475295104
2025-09-18,0.6875,-0.34830997287791715,-0.34830997287791715
2025-09-19,0.5625,-0.4628704893123126,-0.4628704893123126
2025-09-22,0.5625,-0.4628704893123126,-0.4628704893123126
2025-09-23,0.3125,-0.6919915221811036,-0.6919915221811036
2025-09-24,0.4375,-0.5774310057467081,-0.5774310057467081
2025-09-29,0.5,-0.5201507475295104,-0.5201507475295104
2025-09-30,0.5625,-0.4628704893123126,-0.4628704893123126
2025-10-01,0.625,-0.4055902310951149,-0.4055902310951149
2025-10-02,0.375,-0.6347112639639059,-0.6347112639639059
2025-10-06,0.5,-0.5201507475295104,-0.5201507475295104
2025-10-07,0.375,-0.6347112639639059,-0.6347112639639059
2025-10-08,0.3125,-0.6919915221811036,-0.6919915221811036
2025-10-09,0.4375,-0.5774310057467081,-0.5774310057467081
2025-10-10,0.3125,-0.6919915221811036,-0.6919915221811036
2025-10-13,0.5,-0.5201507475295104,-0.5201507475295104
2025-10-14,1.0625,-0.004628423574730602,-0.004628423574730602
2025-10-17,1.0,-0.061908681791928356,-0.061908681791928356
2025-10-20,0.5,-0.5201507475295104,-0.5201507475295104
2025-10-21,0.75,-0.29102971466071936,-0.29102971466071936
2025-10-22,0.5625,-0.4628704893123126,-0.4628704893123126
2025-10-23,0.9375,-0.11918894000912611,-0.11918894000912611
2025-10-27,0.4375,-0.5774310057467081,-0.5774310057467081
2025-10-28,0.375,-0.6347112639639059,-0.6347112639639059
2025-10-29,0.5,-0.5201507475295104,-0.5201507475295104
2025-11-03,0.4375,-0.5774310057467081,-0.5774310057467081
2025-11-04,1.1875,0.1099320928596649,0.1099320928596649
2025-11-05,0.5625,-0.4628704893123126,-0.4628704893123126
2025-11-06,0.875,-0.17646919822632387,-0.17646919822632387
2025-11-10,0.5,-0.5201507475295104,-0.5201507475295104
2025-11-11,0.1875,-0.8065520386154992,-0.8065520386154992
2025-11-12,0.5,-0.5201507475295104,-0.5201507475295104
2025-11-17,0.3125,-0.6919915221811036,-0.6919915221811036
2025-11-18,0.5,-0.5201507475295104,-0.5201507475295104
2025-11-19,0.375,-0.6347112639639059,-0.6347112639639059
2025-11-21,1.4375,0.3390531257284559,0.3390531257284559
2025-11-24,0.5,-0.5201507475295104,-0.5201507475295104
2025-12-01,3.125,1.8856200975927955,1.8856200975927955
2025-12-02,2.6875,1.484658290072411,1.484658290072411
2025-12-03,2.9375,1.713779322941202,1.713779322941202
2025-12-04,0.375,-0.6347112639639059,-0.6347112639639059
2025-12-08,0.6875,-0.34830997287791715,-0.34830997287791715
2025-12-09,0.625,-0.4055902310951149,-0.4055902310951149
2025-12-10,0.6875,-0.34830997287791715,-0.34830997287791715
2025-12-12,0.5,-0.5201507475295104,-0.5201507475295104
2025-12-15,0.3125,-0.6919915221811036,-0.6919915221811036
2025-12-17,0.5,-0.5201507475295104,-0.5201507475295104
2025-12-19,0.3125,-0.6919915221811036,-0.6919915221811036
2025-12-22,0.25,-0.7492717803983014,-0.7492717803983014
2025-12-26,0.5,-0.5201507475295104,-0.5201507475295104
2025-12-29,0.625,-0.4055902310951149,-0.4055902310951149
2025-12-30,0.1875,-0.8065520386154992,-0.8065520386154992
2025-12-31,0.375,-0.6347112639639059,-0.6347112639639059
