Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.7976727403285845,-0.7976727403285845
2024-10-15,8.5,-0.03486800815155222,-0.03486800815155222
2024-10-16,5.5,-0.7976727403285845,-0.7976727403285845
2024-10-17,15.5,1.7450097002615232,1.7450097002615232
2024-10-18,10.0,0.3465343579369639,0.3465343579369639
2024-10-21,6.0,-0.6705386182990791,-0.6705386182990791
2024-10-22,10.5,0.4736684799664693,0.4736684799664693
2024-10-23,7.5,-0.289136252210563,-0.289136252210563
2024-10-24,9.5,0.21940023590745855,0.21940023590745855
2024-10-25,8.0,-0.1620021301810576,-0.1620021301810576
2024-10-28,8.5,-0.03486800815155222,-0.03486800815155222
2024-10-29,9.0,0.09226611387795317,0.09226611387795317
2024-11-04,7.0,-0.41627037424006835,-0.41627037424006835
2024-11-05,5.5,-0.7976727403285845,-0.7976727403285845
2024-11-06,12.5,0.9822049680844909,0.9822049680844909
2024-11-07,19.0,2.634948554468061,2.634948554468061
2024-11-08,11.5,0.72793672402548,0.72793672402548
2024-11-11,10.0,0.3465343579369639,0.3465343579369639
2024-11-12,9.0,0.09226611387795317,0.09226611387795317
2024-11-15,17.5,2.253546188379545,2.253546188379545
2024-11-18,11.0,0.6008026019959747,0.6008026019959747
2024-11-19,10.5,0.4736684799664693,0.4736684799664693
2024-11-20,6.5,-0.5434044962695738,-0.5434044962695738
2024-11-21,9.0,0.09226611387795317,0.09226611387795317
2024-11-22,7.0,-0.41627037424006835,-0.41627037424006835
2024-11-25,17.0,2.1264120663500394,2.1264120663500394
2024-11-26,6.0,-0.6705386182990791,-0.6705386182990791
2024-11-28,4.0,-1.1790751064171008,-1.1790751064171008
2024-11-29,7.5,-0.289136252210563,-0.289136252210563
2024-12-02,14.0,1.363607334173007,1.363607334173007
2024-12-03,15.5,1.7450097002615232,1.7450097002615232
2024-12-04,2.0,-1.6876115945351222,-1.6876115945351222
2024-12-05,8.5,-0.03486800815155222,-0.03486800815155222
2024-12-09,6.0,-0.6705386182990791,-0.6705386182990791
2024-12-10,8.0,-0.1620021301810576,-0.1620021301810576
2024-12-13,7.0,-0.41627037424006835,-0.41627037424006835
2024-12-16,3.5,-1.306209228446606,-1.306209228446606
2024-12-17,11.5,0.72793672402548,0.72793672402548
2024-12-18,8.0,-0.1620021301810576,-0.1620021301810576
2024-12-23,6.0,-0.6705386182990791,-0.6705386182990791
2024-12-24,2.0,-1.6876115945351222,-1.6876115945351222
2024-12-26,5.5,-0.7976727403285845,-0.7976727403285845
2024-12-27,5.5,-0.7976727403285845,-0.7976727403285845
2024-12-30,8.5,-0.03486800815155222,-0.03486800815155222
2024-12-31,7.5,-0.289136252210563,-0.289136252210563
2025-01-02,10.5,0.4736684799664693,0.4736684799664693
2025-01-03,7.0,-0.41627037424006835,-0.41627037424006835
2025-01-06,7.5,-0.289136252210563,-0.289136252210563
2025-01-07,4.5,-1.0519409843875953,-1.0519409843875953
2025-01-08,8.5,-0.03486800815155222,-0.03486800815155222
2025-01-09,6.5,-0.5434044962695738,-0.5434044962695738
2025-01-13,6.0,-0.6705386182990791,-0.6705386182990791
2025-01-16,7.5,-0.289136252210563,-0.289136252210563
2025-01-17,9.0,0.09226611387795317,0.09226611387795317
2025-01-20,14.0,1.363607334173007,1.363607334173007
2025-01-21,8.0,-0.1620021301810576,-0.1620021301810576
2025-01-22,6.5,-0.5434044962695738,-0.5434044962695738
2025-01-23,10.5,0.4736684799664693,0.4736684799664693
2025-01-24,3.0,-1.4333433504761115,-1.4333433504761115
2025-01-27,10.5,0.4736684799664693,0.4736684799664693
2025-01-28,4.5,-1.0519409843875953,-1.0519409843875953
2025-01-29,7.0,-0.41627037424006835,-0.41627037424006835
2025-02-03,11.5,0.72793672402548,0.72793672402548
2025-02-04,6.0,-0.6705386182990791,-0.6705386182990791
2025-02-05,5.0,-0.92480686235809,-0.92480686235809
2025-02-06,10.5,0.4736684799664693,0.4736684799664693
2025-02-10,7.0,-0.41627037424006835,-0.41627037424006835
2025-02-11,3.0,-1.4333433504761115,-1.4333433504761115
2025-02-14,15.0,1.6178755782320178,1.6178755782320178
2025-02-17,2.5,-1.5604774725056167,-1.5604774725056167
2025-02-18,5.0,-0.92480686235809,-0.92480686235809
2025-02-19,6.0,-0.6705386182990791,-0.6705386182990791
2025-02-20,7.5,-0.289136252210563,-0.289136252210563
2025-02-21,5.0,-0.92480686235809,-0.92480686235809
2025-02-24,10.5,0.4736684799664693,0.4736684799664693
2025-02-25,11.0,0.6008026019959747,0.6008026019959747
2025-02-26,11.5,0.72793672402548,0.72793672402548
2025-03-03,13.0,1.1093390901139963,1.1093390901139963
2025-03-04,10.5,0.4736684799664693,0.4736684799664693
2025-03-05,13.0,1.1093390901139963,1.1093390901139963
2025-03-06,12.5,0.9822049680844909,0.9822049680844909
2025-03-10,6.0,-0.6705386182990791,-0.6705386182990791
2025-03-11,7.0,-0.41627037424006835,-0.41627037424006835
2025-03-14,8.5,-0.03486800815155222,-0.03486800815155222
2025-03-17,12.0,0.8550708460549855,0.8550708460549855
2025-03-18,9.5,0.21940023590745855,0.21940023590745855
2025-03-19,10.5,0.4736684799664693,0.4736684799664693
2025-03-20,9.0,0.09226611387795317,0.09226611387795317
2025-03-21,5.5,-0.7976727403285845,-0.7976727403285845
2025-03-24,4.5,-1.0519409843875953,-1.0519409843875953
2025-03-25,7.5,-0.289136252210563,-0.289136252210563
2025-03-26,5.5,-0.7976727403285845,-0.7976727403285845
2025-03-31,6.5,-0.5434044962695738,-0.5434044962695738
2025-04-01,8.0,-0.1620021301810576,-0.1620021301810576
2025-04-02,11.0,0.6008026019959747,0.6008026019959747
2025-04-03,16.0,1.8721438222910285,1.8721438222910285
2025-04-04,21.0,3.1434850425860823,3.1434850425860823
2025-04-07,23.5,3.779155652733609,3.779155652733609
2025-04-08,19.5,2.7620826764975663,2.7620826764975663
2025-04-09,28.0,4.923362750999158,4.923362750999158
2025-04-14,17.5,2.253546188379545,2.253546188379545
2025-04-15,10.0,0.3465343579369639,0.3465343579369639
2025-04-16,5.5,-0.7976727403285845,-0.7976727403285845
2025-04-17,7.0,-0.41627037424006835,-0.41627037424006835
2025-04-21,11.5,0.72793672402548,0.72793672402548
2025-04-22,10.0,0.3465343579369639,0.3465343579369639
2025-04-23,7.0,-0.41627037424006835,-0.41627037424006835
2025-04-24,9.0,0.09226611387795317,0.09226611387795317
2025-04-25,7.5,-0.289136252210563,-0.289136252210563
2025-04-28,7.0,-0.41627037424006835,-0.41627037424006835
2025-04-29,8.5,-0.03486800815155222,-0.03486800815155222
2025-05-01,10.0,0.3465343579369639,0.3465343579369639
2025-05-05,12.5,0.9822049680844909,0.9822049680844909
2025-05-06,9.5,0.21940023590745855,0.21940023590745855
2025-05-07,9.0,0.09226611387795317,0.09226611387795317
2025-05-08,9.5,0.21940023590745855,0.21940023590745855
2025-05-09,7.5,-0.289136252210563,-0.289136252210563
2025-05-12,8.0,-0.1620021301810576,-0.1620021301810576
2025-05-14,9.5,0.21940023590745855,0.21940023590745855
2025-05-16,4.5,-1.0519409843875953,-1.0519409843875953
2025-05-19,9.5,0.21940023590745855,0.21940023590745855
2025-05-20,6.5,-0.5434044962695738,-0.5434044962695738
2025-05-21,7.0,-0.41627037424006835,-0.41627037424006835
2025-05-22,11.0,0.6008026019959747,0.6008026019959747
2025-05-23,16.0,1.8721438222910285,1.8721438222910285
2025-05-26,8.0,-0.1620021301810576,-0.1620021301810576
2025-05-27,5.5,-0.7976727403285845,-0.7976727403285845
2025-05-28,17.5,2.253546188379545,2.253546188379545
2025-06-02,11.0,0.6008026019959747,0.6008026019959747
2025-06-03,14.0,1.363607334173007,1.363607334173007
2025-06-04,14.0,1.363607334173007,1.363607334173007
2025-06-05,10.0,0.3465343579369639,0.3465343579369639
2025-06-09,7.5,-0.289136252210563,-0.289136252210563
2025-06-10,3.5,-1.306209228446606,-1.306209228446606
2025-06-13,13.0,1.1093390901139963,1.1093390901139963
2025-06-16,10.0,0.3465343579369639,0.3465343579369639
2025-06-17,5.5,-0.7976727403285845,-0.7976727403285845
2025-06-18,7.0,-0.41627037424006835,-0.41627037424006835
2025-06-19,9.0,0.09226611387795317,0.09226611387795317
2025-06-20,6.5,-0.5434044962695738,-0.5434044962695738
2025-06-23,14.5,1.4907414562025123,1.4907414562025123
2025-06-24,7.0,-0.41627037424006835,-0.41627037424006835
2025-06-25,9.0,0.09226611387795317,0.09226611387795317
2025-06-30,6.0,-0.6705386182990791,-0.6705386182990791
2025-07-01,7.0,-0.41627037424006835,-0.41627037424006835
2025-07-02,8.0,-0.1620021301810576,-0.1620021301810576
2025-07-04,4.5,-1.0519409843875953,-1.0519409843875953
2025-07-07,7.0,-0.41627037424006835,-0.41627037424006835
2025-07-08,6.0,-0.6705386182990791,-0.6705386182990791
2025-07-09,10.5,0.4736684799664693,0.4736684799664693
2025-07-10,4.5,-1.0519409843875953,-1.0519409843875953
2025-07-11,6.0,-0.6705386182990791,-0.6705386182990791
2025-07-14,9.5,0.21940023590745855,0.21940023590745855
2025-07-17,8.0,-0.1620021301810576,-0.1620021301810576
2025-07-18,4.0,-1.1790751064171008,-1.1790751064171008
2025-07-21,6.0,-0.6705386182990791,-0.6705386182990791
2025-07-22,11.0,0.6008026019959747,0.6008026019959747
2025-07-23,6.5,-0.5434044962695738,-0.5434044962695738
2025-07-24,8.0,-0.1620021301810576,-0.1620021301810576
2025-07-25,6.5,-0.5434044962695738,-0.5434044962695738
2025-07-28,7.0,-0.41627037424006835,-0.41627037424006835
2025-07-29,7.0,-0.41627037424006835,-0.41627037424006835
2025-08-04,9.5,0.21940023590745855,0.21940023590745855
2025-08-05,4.0,-1.1790751064171008,-1.1790751064171008
2025-08-06,4.0,-1.1790751064171008,-1.1790751064171008
2025-08-07,7.0,-0.41627037424006835,-0.41627037424006835
2025-08-08,8.0,-0.1620021301810576,-0.1620021301810576
2025-08-11,5.5,-0.7976727403285845,-0.7976727403285845
2025-08-13,5.5,-0.7976727403285845,-0.7976727403285845
2025-08-15,6.0,-0.6705386182990791,-0.6705386182990791
2025-08-18,8.5,-0.03486800815155222,-0.03486800815155222
2025-08-19,5.0,-0.92480686235809,-0.92480686235809
2025-08-20,5.0,-0.92480686235809,-0.92480686235809
2025-08-21,7.0,-0.41627037424006835,-0.41627037424006835
2025-08-22,8.0,-0.1620021301810576,-0.1620021301810576
2025-08-25,3.5,-1.306209228446606,-1.306209228446606
2025-08-26,4.5,-1.0519409843875953,-1.0519409843875953
2025-08-27,8.5,-0.03486800815155222,-0.03486800815155222
2025-09-02,13.0,1.1093390901139963,1.1093390901139963
2025-09-03,11.0,0.6008026019959747,0.6008026019959747
2025-09-04,13.0,1.1093390901139963,1.1093390901139963
2025-09-08,14.0,1.363607334173007,1.363607334173007
2025-09-12,12.5,0.9822049680844909,0.9822049680844909
2025-09-15,11.0,0.6008026019959747,0.6008026019959747
2025-09-16,3.5,-1.306209228446606,-1.306209228446606
2025-09-17,4.5,-1.0519409843875953,-1.0519409843875953
2025-09-18,23.5,3.779155652733609,3.779155652733609
2025-09-19,7.0,-0.41627037424006835,-0.41627037424006835
2025-09-22,6.0,-0.6705386182990791,-0.6705386182990791
2025-09-23,5.0,-0.92480686235809,-0.92480686235809
2025-09-24,6.0,-0.6705386182990791,-0.6705386182990791
2025-09-29,5.5,-0.7976727403285845,-0.7976727403285845
2025-09-30,7.0,-0.41627037424006835,-0.41627037424006835
2025-10-01,11.0,0.6008026019959747,0.6008026019959747
2025-10-02,8.5,-0.03486800815155222,-0.03486800815155222
2025-10-06,6.0,-0.6705386182990791,-0.6705386182990791
2025-10-07,8.0,-0.1620021301810576,-0.1620021301810576
2025-10-08,4.0,-1.1790751064171008,-1.1790751064171008
2025-10-09,10.5,0.4736684799664693,0.4736684799664693
2025-10-10,5.5,-0.7976727403285845,-0.7976727403285845
2025-10-13,7.5,-0.289136252210563,-0.289136252210563
2025-10-14,12.5,0.9822049680844909,0.9822049680844909
2025-10-17,9.5,0.21940023590745855,0.21940023590745855
2025-10-20,8.0,-0.1620021301810576,-0.1620021301810576
2025-10-21,10.0,0.3465343579369639,0.3465343579369639
2025-10-22,9.0,0.09226611387795317,0.09226611387795317
2025-10-23,5.0,-0.92480686235809,-0.92480686235809
2025-10-27,7.5,-0.289136252210563,-0.289136252210563
2025-10-28,6.0,-0.6705386182990791,-0.6705386182990791
2025-10-29,4.0,-1.1790751064171008,-1.1790751064171008
2025-11-03,6.5,-0.5434044962695738,-0.5434044962695738
2025-11-04,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-05,10.0,0.3465343579369639,0.3465343579369639
2025-11-06,10.0,0.3465343579369639,0.3465343579369639
2025-11-10,11.0,0.6008026019959747,0.6008026019959747
2025-11-11,12.5,0.9822049680844909,0.9822049680844909
2025-11-12,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-17,7.5,-0.289136252210563,-0.289136252210563
2025-11-18,4.5,-1.0519409843875953,-1.0519409843875953
2025-11-19,5.5,-0.7976727403285845,-0.7976727403285845
2025-11-24,5.5,-0.7976727403285845,-0.7976727403285845
2025-12-01,18.5,2.5078144324385554,2.5078144324385554
2025-12-02,12.0,0.8550708460549855,0.8550708460549855
2025-12-03,11.5,0.72793672402548,0.72793672402548
2025-12-04,14.0,1.363607334173007,1.363607334173007
2025-12-08,14.0,1.363607334173007,1.363607334173007
2025-12-09,7.5,-0.289136252210563,-0.289136252210563
2025-12-10,8.5,-0.03486800815155222,-0.03486800815155222
2025-12-12,8.5,-0.03486800815155222,-0.03486800815155222
2025-12-15,6.5,-0.5434044962695738,-0.5434044962695738
2025-12-17,5.5,-0.7976727403285845,-0.7976727403285845
2025-12-19,4.5,-1.0519409843875953,-1.0519409843875953
2025-12-22,4.5,-1.0519409843875953,-1.0519409843875953
2025-12-26,7.0,-0.41627037424006835,-0.41627037424006835
2025-12-29,4.0,-1.1790751064171008,-1.1790751064171008
2025-12-30,6.0,-0.6705386182990791,-0.6705386182990791
2025-12-31,12.5,0.9822049680844909,0.9822049680844909
