Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,-0.3880207627539964,-0.3880207627539964
2024-10-01,1.75,-1.1434228859878404,-1.1434228859878404
2024-10-02,6.25,1.1227834837136914,1.1227834837136914
2024-10-03,3.25,-0.3880207627539964,-0.3880207627539964
2024-10-07,4.0,-0.010319701137074465,-0.010319701137074465
2024-10-08,3.75,-0.13622005500938178,-0.13622005500938178
2024-10-09,4.0,-0.010319701137074465,-0.010319701137074465
2024-10-14,3.25,-0.3880207627539964,-0.3880207627539964
2024-10-15,4.5,0.24148100660754016,0.24148100660754016
2024-10-16,3.25,-0.3880207627539964,-0.3880207627539964
2024-10-17,6.5,1.2486838375859988,1.2486838375859988
2024-10-18,4.25,0.11558065273523285,0.11558065273523285
2024-10-21,2.5,-0.7657218243709183,-0.7657218243709183
2024-10-22,4.5,0.24148100660754016,0.24148100660754016
2024-10-23,4.5,0.24148100660754016,0.24148100660754016
2024-10-24,3.75,-0.13622005500938178,-0.13622005500938178
2024-10-25,3.75,-0.13622005500938178,-0.13622005500938178
2024-10-28,3.5,-0.2621204088816891,-0.2621204088816891
2024-10-29,4.75,0.3673813604798475,0.3673813604798475
2024-11-04,3.0,-0.5139211166263037,-0.5139211166263037
2024-11-05,3.5,-0.2621204088816891,-0.2621204088816891
2024-11-06,6.25,1.1227834837136914,1.1227834837136914
2024-11-07,10.0,3.011288791798301,3.011288791798301
2024-11-08,4.0,-0.010319701137074465,-0.010319701137074465
2024-11-11,3.25,-0.3880207627539964,-0.3880207627539964
2024-11-12,4.0,-0.010319701137074465,-0.010319701137074465
2024-11-15,9.0,2.5076873763090717,2.5076873763090717
2024-11-18,5.25,0.6191820682244621,0.6191820682244621
2024-11-19,5.0,0.4932817143521548,0.4932817143521548
2024-11-20,3.25,-0.3880207627539964,-0.3880207627539964
2024-11-21,4.5,0.24148100660754016,0.24148100660754016
2024-11-22,3.0,-0.5139211166263037,-0.5139211166263037
2024-11-25,9.5,2.7594880840536864,2.7594880840536864
2024-11-26,3.25,-0.3880207627539964,-0.3880207627539964
2024-11-28,4.75,0.3673813604798475,0.3673813604798475
2024-11-29,3.25,-0.3880207627539964,-0.3880207627539964
2024-12-02,8.25,2.12998631469215,2.12998631469215
2024-12-03,7.75,1.8781856069475353,1.8781856069475353
2024-12-04,1.5,-1.2693232398601475,-1.2693232398601475
2024-12-05,5.75,0.8709827759690767,0.8709827759690767
2024-12-09,4.0,-0.010319701137074465,-0.010319701137074465
2024-12-10,3.75,-0.13622005500938178,-0.13622005500938178
2024-12-13,3.0,-0.5139211166263037,-0.5139211166263037
2024-12-16,1.75,-1.1434228859878404,-1.1434228859878404
2024-12-17,5.25,0.6191820682244621,0.6191820682244621
2024-12-18,5.5,0.7450824220967694,0.7450824220967694
2024-12-23,2.5,-0.7657218243709183,-0.7657218243709183
2024-12-24,0.75,-1.6470243014770696,-1.6470243014770696
2024-12-26,2.0,-1.017522532115533,-1.017522532115533
2024-12-27,2.75,-0.639821470498611,-0.639821470498611
2024-12-30,4.5,0.24148100660754016,0.24148100660754016
2024-12-31,3.0,-0.5139211166263037,-0.5139211166263037
2025-01-02,4.25,0.11558065273523285,0.11558065273523285
2025-01-03,3.0,-0.5139211166263037,-0.5139211166263037
2025-01-06,4.0,-0.010319701137074465,-0.010319701137074465
2025-01-07,2.25,-0.8916221782432256,-0.8916221782432256
2025-01-08,5.5,0.7450824220967694,0.7450824220967694
2025-01-09,2.75,-0.639821470498611,-0.639821470498611
2025-01-13,4.0,-0.010319701137074465,-0.010319701137074465
2025-01-16,4.0,-0.010319701137074465,-0.010319701137074465
2025-01-17,5.25,0.6191820682244621,0.6191820682244621
2025-01-20,8.0,2.0040859608198427,2.0040859608198427
2025-01-21,3.5,-0.2621204088816891,-0.2621204088816891
2025-01-22,3.0,-0.5139211166263037,-0.5139211166263037
2025-01-23,4.75,0.3673813604798475,0.3673813604798475
2025-01-24,1.75,-1.1434228859878404,-1.1434228859878404
2025-01-27,6.0,0.996883129841384,0.996883129841384
2025-01-28,2.5,-0.7657218243709183,-0.7657218243709183
2025-01-29,2.75,-0.639821470498611,-0.639821470498611
2025-02-03,5.0,0.4932817143521548,0.4932817143521548
2025-02-04,3.0,-0.5139211166263037,-0.5139211166263037
2025-02-05,2.25,-0.8916221782432256,-0.8916221782432256
2025-02-06,4.25,0.11558065273523285,0.11558065273523285
2025-02-10,3.75,-0.13622005500938178,-0.13622005500938178
2025-02-11,2.0,-1.017522532115533,-1.017522532115533
2025-02-14,8.0,2.0040859608198427,2.0040859608198427
2025-02-17,1.25,-1.3952235937324549,-1.3952235937324549
2025-02-18,1.75,-1.1434228859878404,-1.1434228859878404
2025-02-19,2.75,-0.639821470498611,-0.639821470498611
2025-02-20,3.5,-0.2621204088816891,-0.2621204088816891
2025-02-21,2.5,-0.7657218243709183,-0.7657218243709183
2025-02-24,5.0,0.4932817143521548,0.4932817143521548
2025-02-25,5.0,0.4932817143521548,0.4932817143521548
2025-02-26,4.0,-0.010319701137074465,-0.010319701137074465
2025-03-03,3.5,-0.2621204088816891,-0.2621204088816891
2025-03-04,4.5,0.24148100660754016,0.24148100660754016
2025-03-05,6.0,0.996883129841384,0.996883129841384
2025-03-06,6.5,1.2486838375859988,1.2486838375859988
2025-03-10,4.0,-0.010319701137074465,-0.010319701137074465
2025-03-11,3.75,-0.13622005500938178,-0.13622005500938178
2025-03-14,3.25,-0.3880207627539964,-0.3880207627539964
2025-03-17,3.5,-0.2621204088816891,-0.2621204088816891
2025-03-18,3.75,-0.13622005500938178,-0.13622005500938178
2025-03-19,4.5,0.24148100660754016,0.24148100660754016
2025-03-20,4.25,0.11558065273523285,0.11558065273523285
2025-03-21,2.75,-0.639821470498611,-0.639821470498611
2025-03-24,2.0,-1.017522532115533,-1.017522532115533
2025-03-25,4.25,0.11558065273523285,0.11558065273523285
2025-03-26,2.5,-0.7657218243709183,-0.7657218243709183
2025-03-31,4.0,-0.010319701137074465,-0.010319701137074465
2025-04-01,5.0,0.4932817143521548,0.4932817143521548
2025-04-02,4.25,0.11558065273523285,0.11558065273523285
2025-04-03,10.5,3.263089499542916,3.263089499542916
2025-04-04,11.75,3.8925912689044524,3.8925912689044524
2025-04-07,10.75,3.388989853415223,3.388989853415223
2025-04-08,13.25,4.6479933921382965,4.6479933921382965
2025-04-09,13.75,4.899794099882911,4.899794099882911
2025-04-14,6.5,1.2486838375859988,1.2486838375859988
2025-04-15,6.75,1.374584191458306,1.374584191458306
2025-04-16,3.25,-0.3880207627539964,-0.3880207627539964
2025-04-17,4.25,0.11558065273523285,0.11558065273523285
2025-04-21,6.25,1.1227834837136914,1.1227834837136914
2025-04-22,3.5,-0.2621204088816891,-0.2621204088816891
2025-04-23,3.5,-0.2621204088816891,-0.2621204088816891
2025-04-24,5.0,0.4932817143521548,0.4932817143521548
2025-04-25,2.75,-0.639821470498611,-0.639821470498611
2025-04-28,3.25,-0.3880207627539964,-0.3880207627539964
2025-04-29,4.5,0.24148100660754016,0.24148100660754016
2025-05-01,3.75,-0.13622005500938178,-0.13622005500938178
2025-05-05,4.5,0.24148100660754016,0.24148100660754016
2025-05-06,3.25,-0.3880207627539964,-0.3880207627539964
2025-05-07,4.75,0.3673813604798475,0.3673813604798475
2025-05-08,4.25,0.11558065273523285,0.11558065273523285
2025-05-09,3.25,-0.3880207627539964,-0.3880207627539964
2025-05-12,4.25,0.11558065273523285,0.11558065273523285
2025-05-14,4.5,0.24148100660754016,0.24148100660754016
2025-05-16,2.75,-0.639821470498611,-0.639821470498611
2025-05-19,5.25,0.6191820682244621,0.6191820682244621
2025-05-20,3.0,-0.5139211166263037,-0.5139211166263037
2025-05-21,2.25,-0.8916221782432256,-0.8916221782432256
2025-05-22,4.75,0.3673813604798475,0.3673813604798475
2025-05-23,9.75,2.8853884379259935,2.8853884379259935
2025-05-26,2.5,-0.7657218243709183,-0.7657218243709183
2025-05-27,2.5,-0.7657218243709183,-0.7657218243709183
2025-05-28,5.5,0.7450824220967694,0.7450824220967694
2025-06-02,2.5,-0.7657218243709183,-0.7657218243709183
2025-06-03,3.25,-0.3880207627539964,-0.3880207627539964
2025-06-04,7.0,1.5004845453306133,1.5004845453306133
2025-06-05,6.5,1.2486838375859988,1.2486838375859988
2025-06-09,3.0,-0.5139211166263037,-0.5139211166263037
2025-06-10,2.0,-1.017522532115533,-1.017522532115533
2025-06-13,6.0,0.996883129841384,0.996883129841384
2025-06-16,4.75,0.3673813604798475,0.3673813604798475
2025-06-17,4.25,0.11558065273523285,0.11558065273523285
2025-06-18,3.25,-0.3880207627539964,-0.3880207627539964
2025-06-19,4.75,0.3673813604798475,0.3673813604798475
2025-06-20,3.75,-0.13622005500938178,-0.13622005500938178
2025-06-23,6.75,1.374584191458306,1.374584191458306
2025-06-24,3.5,-0.2621204088816891,-0.2621204088816891
2025-06-25,4.75,0.3673813604798475,0.3673813604798475
2025-06-30,2.75,-0.639821470498611,-0.639821470498611
2025-07-01,4.5,0.24148100660754016,0.24148100660754016
2025-07-02,2.25,-0.8916221782432256,-0.8916221782432256
2025-07-04,1.5,-1.2693232398601475,-1.2693232398601475
2025-07-07,2.75,-0.639821470498611,-0.639821470498611
2025-07-08,3.25,-0.3880207627539964,-0.3880207627539964
2025-07-09,5.25,0.6191820682244621,0.6191820682244621
2025-07-10,2.75,-0.639821470498611,-0.639821470498611
2025-07-11,2.75,-0.639821470498611,-0.639821470498611
2025-07-14,4.25,0.11558065273523285,0.11558065273523285
2025-07-17,4.0,-0.010319701137074465,-0.010319701137074465
2025-07-18,3.0,-0.5139211166263037,-0.5139211166263037
2025-07-21,2.5,-0.7657218243709183,-0.7657218243709183
2025-07-22,5.75,0.8709827759690767,0.8709827759690767
2025-07-23,3.0,-0.5139211166263037,-0.5139211166263037
2025-07-24,4.5,0.24148100660754016,0.24148100660754016
2025-07-25,2.5,-0.7657218243709183,-0.7657218243709183
2025-07-28,3.0,-0.5139211166263037,-0.5139211166263037
2025-07-29,2.75,-0.639821470498611,-0.639821470498611
2025-08-04,4.25,0.11558065273523285,0.11558065273523285
2025-08-05,2.0,-1.017522532115533,-1.017522532115533
2025-08-06,2.0,-1.017522532115533,-1.017522532115533
2025-08-07,3.0,-0.5139211166263037,-0.5139211166263037
2025-08-08,3.75,-0.13622005500938178,-0.13622005500938178
2025-08-11,2.75,-0.639821470498611,-0.639821470498611
2025-08-13,2.5,-0.7657218243709183,-0.7657218243709183
2025-08-15,1.5,-1.2693232398601475,-1.2693232398601475
2025-08-18,3.75,-0.13622005500938178,-0.13622005500938178
2025-08-19,2.75,-0.639821470498611,-0.639821470498611
2025-08-20,2.75,-0.639821470498611,-0.639821470498611
2025-08-21,3.25,-0.3880207627539964,-0.3880207627539964
2025-08-22,3.5,-0.2621204088816891,-0.2621204088816891
2025-08-25,2.5,-0.7657218243709183,-0.7657218243709183
2025-08-26,2.75,-0.639821470498611,-0.639821470498611
2025-08-27,2.75,-0.639821470498611,-0.639821470498611
2025-09-02,2.75,-0.639821470498611,-0.639821470498611
2025-09-03,2.5,-0.7657218243709183,-0.7657218243709183
2025-09-04,2.5,-0.7657218243709183,-0.7657218243709183
2025-09-08,4.0,-0.010319701137074465,-0.010319701137074465
2025-09-12,3.75,-0.13622005500938178,-0.13622005500938178
2025-09-15,5.0,0.4932817143521548,0.4932817143521548
2025-09-16,2.75,-0.639821470498611,-0.639821470498611
2025-09-17,2.5,-0.7657218243709183,-0.7657218243709183
2025-09-18,10.0,3.011288791798301,3.011288791798301
2025-09-19,3.75,-0.13622005500938178,-0.13622005500938178
2025-09-22,1.75,-1.1434228859878404,-1.1434228859878404
2025-09-23,1.75,-1.1434228859878404,-1.1434228859878404
2025-09-24,3.25,-0.3880207627539964,-0.3880207627539964
2025-09-29,2.75,-0.639821470498611,-0.639821470498611
2025-09-30,3.0,-0.5139211166263037,-0.5139211166263037
2025-10-01,6.25,1.1227834837136914,1.1227834837136914
2025-10-02,4.25,0.11558065273523285,0.11558065273523285
2025-10-06,2.25,-0.8916221782432256,-0.8916221782432256
2025-10-07,3.25,-0.3880207627539964,-0.3880207627539964
2025-10-08,1.25,-1.3952235937324549,-1.3952235937324549
2025-10-09,4.5,0.24148100660754016,0.24148100660754016
2025-10-10,2.5,-0.7657218243709183,-0.7657218243709183
2025-10-13,2.25,-0.8916221782432256,-0.8916221782432256
2025-10-14,5.25,0.6191820682244621,0.6191820682244621
2025-10-17,6.5,1.2486838375859988,1.2486838375859988
2025-10-20,3.25,-0.3880207627539964,-0.3880207627539964
2025-10-21,4.25,0.11558065273523285,0.11558065273523285
2025-10-22,4.5,0.24148100660754016,0.24148100660754016
2025-10-23,2.25,-0.8916221782432256,-0.8916221782432256
2025-10-27,3.0,-0.5139211166263037,-0.5139211166263037
2025-10-28,4.25,0.11558065273523285,0.11558065273523285
2025-10-29,1.75,-1.1434228859878404,-1.1434228859878404
2025-11-03,3.25,-0.3880207627539964,-0.3880207627539964
2025-11-04,1.5,-1.2693232398601475,-1.2693232398601475
2025-11-05,4.75,0.3673813604798475,0.3673813604798475
2025-11-06,5.25,0.6191820682244621,0.6191820682244621
2025-11-10,4.5,0.24148100660754016,0.24148100660754016
2025-11-11,5.25,0.6191820682244621,0.6191820682244621
2025-11-12,2.75,-0.639821470498611,-0.639821470498611
2025-11-17,3.0,-0.5139211166263037,-0.5139211166263037
2025-11-18,2.5,-0.7657218243709183,-0.7657218243709183
2025-11-19,2.75,-0.639821470498611,-0.639821470498611
2025-11-24,2.75,-0.639821470498611,-0.639821470498611
2025-12-01,7.25,1.6263848992029206,1.6263848992029206
2025-12-02,3.5,-0.2621204088816891,-0.2621204088816891
2025-12-03,3.25,-0.3880207627539964,-0.3880207627539964
2025-12-04,5.0,0.4932817143521548,0.4932817143521548
2025-12-08,6.0,0.996883129841384,0.996883129841384
2025-12-09,3.5,-0.2621204088816891,-0.2621204088816891
2025-12-10,3.5,-0.2621204088816891,-0.2621204088816891
2025-12-12,3.75,-0.13622005500938178,-0.13622005500938178
2025-12-15,2.5,-0.7657218243709183,-0.7657218243709183
2025-12-17,2.75,-0.639821470498611,-0.639821470498611
2025-12-19,2.25,-0.8916221782432256,-0.8916221782432256
2025-12-22,1.5,-1.2693232398601475,-1.2693232398601475
2025-12-26,3.5,-0.2621204088816891,-0.2621204088816891
2025-12-29,2.25,-0.8916221782432256,-0.8916221782432256
2025-12-30,2.5,-0.7657218243709183,-0.7657218243709183
2025-12-31,5.75,0.8709827759690767,0.8709827759690767
